dataset,image,ground_truth,easyocr,tesseract,status,easyocr_text,easyocr_time,easyocr_text_no_diacritics,tesseract_text,tesseract_time,tesseract_text_no_diacritics,ground_truth_no_diacritics
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x114 at 0x7557E425C790>,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","{'text': 'لفظهً "" عرب "" عندً عن واذا ما سألتني معنى', 'time': 0.12821722030639648}","{'text': 'وَإِذا ما سَألْْيِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ\n', 'time': 0.054384469985961914}",success,"لفظهً "" عرب "" عندً عن واذا ما سألتني معنى",0.12821722030639648,"لفظه "" عرب "" عند عن واذا ما سألتني معنى","وَإِذا ما سَألْْيِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ",0.054384469985961914,"وإذا ما سأليي عن معنى لفظه ""عرب"" عند","وإذا ما سألتني عن معنى لفظه ""عرب"" عند"
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1182x147 at 0x755820245950>,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,"{'text': '_ النضوص واستنباط قعانيها بؤجه ضجيح دقيق . أما فهم', 'time': 0.10543584823608398}","{'text': 'أما فَهُم النْصْوصٍ واشتئباط قعانيها بوكو صَحيحٌ دقيق,\n', 'time': 0.07516288757324219}",success,_ النضوص واستنباط قعانيها بؤجه ضجيح دقيق . أما فهم,0.10543584823608398,_ النضوص واستنباط قعانيها بؤجه ضجيح دقيق . أما فهم,"أما فَهُم النْصْوصٍ واشتئباط قعانيها بوكو صَحيحٌ دقيق,",0.07516288757324219,"أما فهم النصوص واشتئباط قعانيها بوكو صحيح دقيق,",أما فهم النصوص واستنباط معانيها بوجه صحيح دقيق،
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=994x163 at 0x7556DCDBDD50>,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,"{'text': 'تثير فيها الاسود وهو ما يتعارض مع اكتشاف', 'time': 0.05660748481750488}","{'text': 'تَثْير فيها الاسود. وَهَوٍ ما تَتَعارَض مق اكْتشافيٍ\n', 'time': 0.07706618309020996}",success,تثير فيها الاسود وهو ما يتعارض مع اكتشاف,0.05660748481750488,تثير فيها الاسود وهو ما يتعارض مع اكتشاف,تَثْير فيها الاسود. وَهَوٍ ما تَتَعارَض مق اكْتشافيٍ,0.07706618309020996,تثير فيها الاسود. وهو ما تتعارض مق اكتشافي,تثير فيها الاسود، وهو ما يتعارض مع اكتشاف
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1315x224 at 0x7557F35EC850>,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,"{'text': 'وكادت تصل إلى المزحلة الاشتاكيًة لسيط ة أفبر الجماعي ,', 'time': 0.104278564453125}","{'text': 'لَى المَرْحَلَةِ الإشترايّة لسَيْطرة أَخُبرَ\nالجماعي. وَكَادَت تصل إِلَى المَْحَلَةِ الاشترايّة لِسَيْط\n', 'time': 0.09968733787536621}",success,"وكادت تصل إلى المزحلة الاشتاكيًة لسيط ة أفبر الجماعي ,",0.104278564453125,"وكادت تصل إلى المزحلة الاشتاكية لسيط ة أفبر الجماعي ,",لَى المَرْحَلَةِ الإشترايّة لسَيْطرة أَخُبرَ الجماعي. وَكَادَت تصل إِلَى المَْحَلَةِ الاشترايّة لِسَيْط,0.09968733787536621,لى المرحلة الإشتراية لسيطرة أخبر الجماعي. وكادت تصل إلى المحلة الاشتراية لسيط,الجماعي، وكادت تصل إلى المرحلة الاشتراكية لسيطرة أكبر
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x129 at 0x7557B4671D10>,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,"{'text': 'معهً منديلا فيه جردقتان وقطع سحباج آخم مبرد', 'time': 0.11063003540039062}","{'text': 'مَعهَ منديلا فيه جردقتان وَفَطعَ لخم سه باج مبرد\n', 'time': 0.07319283485412598}",success,معهً منديلا فيه جردقتان وقطع سحباج آخم مبرد,0.11063003540039062,معه منديلا فيه جردقتان وقطع سحباج آخم مبرد,مَعهَ منديلا فيه جردقتان وَفَطعَ لخم سه باج مبرد,0.07319283485412598,معه منديلا فيه جردقتان وفطع لخم سه باج مبرد,معه منديلا فيه جردقتان وقطع لحم سكباج مبرد
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x123 at 0x755780092FD0>,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,"{'text': 'العامه  وًلم يكن فى كثير المدارس من', 'time': 0.08949112892150879}","{'text': 'إلى المدارس العامه, وَل يَكْن في كَثِيرٍ مِن\n', 'time': 0.09209418296813965}",success,العامه وًلم يكن فى كثير المدارس من,0.08949112892150879,العامه ولم يكن فى كثير المدارس من,"إلى المدارس العامه, وَل يَكْن في كَثِيرٍ مِن",0.09209418296813965,"إلى المدارس العامه, ول يكن في كثير من",إلى المدارس العامه، ولم يكن في كثير من
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x108 at 0x7557B44FE890>,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,"{'text': 'و / على امتصاص ولها المسبب لظاهرة الاحتباس القدرة الحراري', 'time': 0.12147951126098633}","{'text': 'المسيْب لظاهرة الاحتباس الحراري ونا القدرَة على إمتصاص\n', 'time': 0.08592653274536133}",success,و / على امتصاص ولها المسبب لظاهرة الاحتباس القدرة الحراري,0.12147951126098633,و / على امتصاص ولها المسبب لظاهرة الاحتباس القدرة الحراري,المسيْب لظاهرة الاحتباس الحراري ونا القدرَة على إمتصاص,0.08592653274536133,المسيب لظاهرة الاحتباس الحراري ونا القدرة على إمتصاص,المسبب لظاهرة الاحتباس الحراري ولها القدرة على امتصاص
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=970x146 at 0x7557FA13F850>,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,"{'text': ' وتكون حضنه الشغالات في الوسط يليها القرص', 'time': 0.06267070770263672}","{'text': 'ننه الشَغْالات فى الوَسَط يَليها\nالفُرْص وَتَكُون حِضْنه | في\n', 'time': 0.0753028392791748}",success,وتكون حضنه الشغالات في الوسط يليها القرص,0.06267070770263672,وتكون حضنه الشغالات في الوسط يليها القرص,ننه الشَغْالات فى الوَسَط يَليها الفُرْص وَتَكُون حِضْنه | في,0.0753028392791748,ننه الشغالات فى الوسط يليها الفرص وتكون حضنه | في,القرص وتكون حضنه الشغالات في الوسط يليها
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1034x142 at 0x7557B47E4350>,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا","{'text': ' الإطلال وخدد لا من الناجية "" الجيولوجيه "" فإنً باطن', 'time': 0.08725237846374512}","{'text': 'من الناجِيَةٍ ""الجيولوجيه"" فَإِنَّ باطِن البلال وَحْدَهُ لا\n', 'time': 0.08909177780151367}",success,"الإطلال وخدد لا من الناجية "" الجيولوجيه "" فإنً باطن",0.08725237846374512,"الإطلال وخدد لا من الناجية "" الجيولوجيه "" فإن باطن","من الناجِيَةٍ ""الجيولوجيه"" فَإِنَّ باطِن البلال وَحْدَهُ لا",0.08909177780151367,"من الناجية ""الجيولوجيه"" فإن باطن البلال وحده لا","من الناحية ""الجيولوجيه"" فإن باطن الهلال وحده لا"
ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x136 at 0x7557B430BA50>,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,"{'text': 'قجموعة من القوامل القفسترة يهذا ويفين اللآ داع تخديد', 'time': 0.09934139251708984}","{'text': 'سمه مه 5 م ا مهم اه\n\nوَيُفْكِن تَخْديد مَجْمُوعُهَ من القَوامِلُ المٌفْسَرَّة لهذا الداع\n', 'time': 0.11371397972106934}",success,قجموعة من القوامل القفسترة يهذا ويفين اللآ داع تخديد,0.09934139251708984,قجموعة من القوامل القفسترة يهذا ويفين اللآ داع تخديد,سمه مه 5 م ا مهم اه وَيُفْكِن تَخْديد مَجْمُوعُهَ من القَوامِلُ المٌفْسَرَّة لهذا الداع,0.11371397972106934,سمه مه 5 م ا مهم اه ويفكن تخديد مجموعه من القوامل المفسرة لهذا الداع,ويمكن تحديد مجموعه من العوامل المفسرة لهذا الأداء
