,image,ground_truth,qari,ground_truth_t,qari_t
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2142x141 at 0x74188C56B3D0>,وصفاً مجملاً لحالة المغرب خلال سنة 2005، مثيراً ، في سياق ذلك ، التساؤلات الكبرى,وصفنا بملح لحادث تخلل ليما2008ه سُرَّا ، ذ مومي مد الله، لتسازان المورن,وصفا مجملا لحالة المغرب خلال سنة 2005، مثيرا ، في سياق ذلك ، التساؤلات الكبرى,وصفنا بملح لحادث تخلل ليما2008ه سرا ، ذ مومي مد الله، لتسازان المورن
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2159x228 at 0x74188C574B10>,وهلال خازن عفيف للحج . بدأت قوافل الحجيج حاج إثر آخر يلبي,د هــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ,وهلال خازن عفيف للحج . بدأت قوافل الحجيج حاج إثر آخر يلبي,د هــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــــ
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1508x404 at 0x74188C581F90>,النص: مشمش ، دراق ، غيظ ، ناء ، بث ، نسر .,الدم : مسَفَّا، دراق، فِيْم، ناَه، بِث اَسَر.,النص: مشمش ، دراق ، غيظ ، ناء ، بث ، نسر .,الدم : مسفا، دراق، فيم، ناه، بث اسر.
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1236x103 at 0x74188C582C50>,و هي التي جعلته كريما على فقره .,و هي الارْ حبِلَةَ دربماَلى مفْرَهِ.,و هي التي جعلته كريما على فقره .,و هي الار حبلة دربمالى مفره.
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1873x110 at 0x74188C589F50>,مثل أنقض بغـلس له الضابط لزمتك. سألت راجح هل أبلغ أصحابنا,صل ١٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠,مثل أنقض بغـلس له الضابط لزمتك. سألت راجح هل أبلغ أصحابنا,صل ١٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠٠
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2065x191 at 0x74188C591850>,الأدب عامة ، و الأدب السعبي خاصة ، لمزيد من التقصي و البحث و التحليل ،,أ لأدب عامه، والأدب السمح جحاسمه ، غزير من التعمق والبحث والتحليل ،,الأدب عامة ، و الأدب السعبي خاصة ، لمزيد من التقصي و البحث و التحليل ،,أ لأدب عامه، والأدب السمح جحاسمه ، غزير من التعمق والبحث والتحليل ،
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2177x189 at 0x74188C59CC50>,عفيف للحج . بدأن قوافل الحجح حاج إن افر يلبي . عند وصولنا طفنا وسعينا هع شنح.,حسب الله أنَّنا نُؤَاوَلُ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْيَوْمِ الْ,عفيف للحج . بدأن قوافل الحجح حاج إن افر يلبي . عند وصولنا طفنا وسعينا هع شنح.,حسب الله أننا نؤاول اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم اليوم ال
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2039x124 at 0x74188C59FF50>,هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء,دل بلغ أصحابنا طمع (ك)، نَزْفَ ٦ بِسَئَى ١٠ عَن ٢٠١٠َ نَمْنَا وَالمع,هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء,دل بلغ أصحابنا طمع (ك)، نزف ٦ بسئى ١٠ عن ٢٠١٠ نمنا والمع
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=907x578 at 0x74188C5B3350>,غيظ ، ناء ، بث ، نسر .,غيظ ، ناد، بث، نضر.,غيظ ، ناء ، بث ، نسر .,غيظ ، ناد، بث، نضر.
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1998x118 at 0x74188C5BB150>,والصراع الحضاري قد يأخذ أشكالا مادية - الصراع على الوصول .,دالصامي ادحا ري ديدا كذ اسكلال ما ربة -الصرامي كل الوتولل,والصراع الحضاري قد يأخذ أشكالا مادية - الصراع على الوصول .,دالصامي ادحا ري ديدا كذ اسكلال ما ربة -الصرامي كل الوتولل
