,image,ground_truth,tesseract,easyocr
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2142x141 at 0x7D6DD319BF90>,وصفاً مجملاً لحالة المغرب خلال سنة 2005، مثيراً ، في سياق ذلك ، التساؤلات الكبرى,"و اث
حلم خالد
صف للع نب 1
‎١‏ حال ل 0
2ه ل
2005 ضرا ء :
- ضيبا ماد لأى مع
المشساز ,لي
8 1""
","حالا مح٥ً لحالدالمح صف سراء ذ سب مه دلل ا ,لسادلان للورا ها )4~5ه2"
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2159x228 at 0x7D6DD1F86490>,وهلال خازن عفيف للحج .  بدأت قوافل الحجيج حاج إثر آخر يلبي,"“ان طازن, عض للهبع “د أات اطع لجيج ما رك نم مل
",عصعا معبل ل _ جا ت قواقل عا 2 إثر ~ خ ما رره للهج المجيج
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1508x404 at 0x7D6DD1F87E50>,النص: مشمش ، دراق ، غيظ ، ناء ،  بث ، نسر .,"الى : محش د راك حيظ ؛ نأد؛ جمبثت اجر
","لبث دراد , خيظ ' نا ء مهمم الذم نسلن"
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1236x103 at 0x7D6DD1FA03D0>,و هي التي جعلته كريما على فقره .,"هو هى انوا كلت دريما كل موه .
",لريما ىلى ححلد الد مشظو ه
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1873x110 at 0x7D6DD1FA0950>,مثل أنقض بغـلس له الضابط لزمتك. سألت راجح هل أبلغ أصحابنا,"ملا دمض نغلس هف الطابط لزمتك ساهه راجع هل أبلؤ أصمجاين!١‏
",امجا سالت راجح هل لل الطا  ط مث ' نقحى ابل  بنا لرمرك نغلل
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2065x191 at 0x7D6DD1FA0ED0>,الأدب عامة ، و الأدب السعبي خاصة ، لمزيد من التقصي و البحث و التحليل ،,": ‏لادب عاميى رالاء بن المصج عل اهدم"" ( لير م الى والبعرى والتسليل‎ ١
",د مو ( رال عامهً   بدالادب السثبم ادث التقدى حر بر رالبحث والدحلا
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2177x189 at 0x7D6DD1FA1450>,عفيف للحج .  بدأن قوافل الحجح حاج إن افر يلبي . عند وصولنا طفنا وسعينا هع شنح.,"ميت لاحر ان صاطل اكب سال امرارل_بكال م عن وص رلنا فنا معدا موك ْ
",";/`3(= ١ و٥ » 2 = حا ائرا ر 0 عنت  7 الرانت فوامل /ك,< عىد"
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2039x124 at 0x7D6DD1FA19D0>, هل تعلم فائدة الكلمات التالية لهذا النص: مشمش، دراق، غيظ، ناء,"هل بلج تمجابن طاع 22 ناج مى ‏ ب س تنا صن ع ظ اننا ب الحم
", صحاناذع ٥، تح فى بستى | ص عللاثنا ٥ا ٥ الدع
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=907x578 at 0x7D6DD1FA1F50>,غيظ ، ناء ، بث ، نسر .,"غرط » ناء » ببش + مرو .
",نر بث غح نا ء (
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1998x118 at 0x7D6DD1FA24D0>,والصراع  الحضاري قد  يأخذ  أشكالا  مادية - الصراع  على الوصول .,"1 ف 5 ه- ا ‎١‏ الن ب
دعساي ابخضا رى جر رخن ١#شكالد‏ مارية تصراي كى الوشول
",ال ا 9نزل ما ر^ - الصرا رى حد لا حذ ا سكاا الحعرا وللصررئ
10,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2168x120 at 0x7D6DD1FA2A10>,كيلومتر في نهر جليدي درجة حرارته 8ر1 درجة تحت الصفر، مسجلا رقما قياسيا,"مرحم ‎٠.‏ 32 أ 5 1 0 42
لمصسري بير صليرئ درمة عازه ,| درهةفن لسر ؛ صسورر سما صياجها
","ا صاسا مسوا 6 8 ,| >شآحن اص~ د-جه ? ارره للدعم غ نه ملبدي"
11,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2286x141 at 0x7D6DD1FA2F90>,ناهيك عن الخسارهـ الفادحه للأخشاب و الثروة النباتيه و الحيوانيه والبشريه,"ناك 555 لهساره العاوجم لاع ساب و التروهم الجا وباحبيو الىم والسترت
0 1 ء
", ن | ناصك حن المنسار4 الحادح للاخمشاب والترده اللذانب و _ الجبو =لسر اله
12,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2137x173 at 0x7D6DD1FA3510>, ب س ش ص غ هـ أننا في الحج . هل تعلم فائدة الكلمات,"سن يلن صنلرء 4 نور ا ك0 مل عمد ا سر لكل >

١
", ٧٧  د { > 3 ص ع 0 { ا سس مل لعار
13,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2086x122 at 0x7D6DD1FA3A90>,لايخطئ ، وهي أيضا ليست الإفراط في الواقعية والتى تعتبر,"زا يخطع » عو أ رضا لست ‎١‏ لا ءالا عم الوا فَهم وال تعر
",نصسار رحح ،و2 اثالرست ااط ار& الاا ححم و _ال
14,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2465x114 at 0x7D6DD1FB4050>,فأما الأدله التاريخية المستقاة من المصادر الأدبيه فهي تنحصر في بعض الكتب,"عاماال ذل1التاريحيا ا هسماء م نامصادر ال وبسمحطهى تتعسرئ مط اللي
",تنحصري نمص فاباللا دنا ا لتارلم  امستحا& من امصادرالا دبامه نخلت
15,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=2017x90 at 0x7D6DD1FB45D0>,وعدم استقرار موظفي الوزارات والمسؤولين الإداريين ، عدم الاعتبار الممنهج للاستحقاق,"3 ا دارمينت ' سار اهم للا سهان
وعرم ١ستهرار‏ عو ظفى الوزارارك و السؤوشم الادارياكت 6 عد"" 0
","للا سكماق لإ حسبار الورارات ,السودلسس الا دارين لو وعدمم ا ستمرار احمىنح حث طح"
