,image,ground_truth,qari,ground_truth_t,qari_t
0,<PIL.Image.Image image mode=RGB size=1464x77 at 0x79EB3C1570D0>,فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه,كان ثم ثالن يسميهم أبو رجاء فنسي موفه ثم خمر بن الخطاب الرابع وكان النيي على الله عليه,فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه,كان ثم ثالن يسميهم أبو رجاء فنسي موفه ثم خمر بن الخطاب الرابع وكان النيي على الله عليه
1,<PIL.Image.Image image mode=RGB size=1187x75 at 0x79EB340777D0>,معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب,معي صبرا قال لا تؤاخذيي بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب,معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب,معي صبرا قال لا تؤاخذيي بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
2,<PIL.Image.Image image mode=RGB size=1985x60 at 0x79EC045DE5D0>,في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده,في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده,في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده,في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
3,<PIL.Image.Image image mode=RGB size=1242x105 at 0x79EB3C594F50>,صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن,صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن,صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن,صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن
4,<PIL.Image.Image image mode=RGB size=1552x57 at 0x79EB3C5BA5D0>,ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم,ي فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم,ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم,ي فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
5,<PIL.Image.Image image mode=RGB size=1366x77 at 0x79EB3408B850>,وسلم العشاء في آخر حياته فلما سلم قام فقال أرأيتكم ليلتكم هذه فإن رأس مائة سنة منها,وسلم العشاء فيي آفر حياته فلما سلم قام فقال أرأيتكم ليلتكم مذه فإن رأس مائة سنة منها,وسلم العشاء في آخر حياته فلما سلم قام فقال أرأيتكم ليلتكم هذه فإن رأس مائة سنة منها,وسلم العشاء فيي آفر حياته فلما سلم قام فقال أرأيتكم ليلتكم مذه فإن رأس مائة سنة منها
6,<PIL.Image.Image image mode=RGB size=1182x77 at 0x79EB3C57A8D0>,أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفصة قولي له إن أبا بكر رجل أسيف وإنه,أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفظة قولي له إن أبا بكر رجل أسيف وإنه,أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفصة قولي له إن أبا بكر رجل أسيف وإنه,أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفظة قولي له إن أبا بكر رجل أسيف وإنه
7,<PIL.Image.Image image mode=RGB size=1217x77 at 0x79EB3410AB10>,فإذا فعلوا ذلك عصموا مني دماءهم وأموالهم إلا بحق الإسلام وحسابهم على الله,إذانا فعلوا ذلك خصموا مني دماءهم وأموالهم إلا بحق الإسلام ومسابهم على الله,فإذا فعلوا ذلك عصموا مني دماءهم وأموالهم إلا بحق الإسلام وحسابهم على الله,إذانا فعلوا ذلك خصموا مني دماءهم وأموالهم إلا بحق الإسلام ومسابهم على الله
8,<PIL.Image.Image image mode=RGB size=1516x57 at 0x79EB3C542F50>,بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه,نت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه,بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه,نت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
9,<PIL.Image.Image image mode=RGB size=1226x77 at 0x79EB3410AFD0>,على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد,على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد,على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد,على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
