,image,ground_truth,qwenv2.5_3B,ground_truth_t,qwenv2.5_3B_t
0,<PIL.Image.Image image mode=RGB size=1464x77 at 0x7B4090188250>,"فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه
","""العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية","فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه
","""العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية العربية"
1,<PIL.Image.Image image mode=RGB size=1187x75 at 0x7B40901EB290>,"معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
","""مع صورتان لا تكادين تنسينا نظريتك إذاً علام يبع""","معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
","""مع صورتان لا تكادين تنسينا نظريتك إذا علام يبع"""
2,<PIL.Image.Image image mode=RGB size=1985x60 at 0x7B40901F3B10>,"في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
","""العربية: العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية","في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
","""العربية: العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية، العربية"
