,image,ground_truth,qari,ground_truth_t,qari_t
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x114 at 0x7575C8753910>,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","وَإِذَا مَا سَأَلْتُنِي عَن مَّعْنَى لَفْظُهُ ""عَرَب"" عِندَ","وإذا ما سألتني عن معنى لفظه ""عرب"" عند","وإذا ما سألتني عن معنى لفظه ""عرب"" عند"
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1182x147 at 0x7575C87DA110>,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,أَما فُهم النُّصوص واسْتِنباط معانيها يُوجَه صحيحٌ دقيق،,أما فهم النصوص واستنباط معانيها بوجه صحيح دقيق،,أما فهم النصوص واستنباط معانيها يوجه صحيح دقيق،
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=994x163 at 0x7575C87DA4D0>,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,فيها الأسود، وهو ما يتعارض مع اكتشاف تثير,تثير فيها الاسود، وهو ما يتعارض مع اكتشاف,فيها الأسود، وهو ما يتعارض مع اكتشاف تثير
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1315x224 at 0x7575C87DAA50>,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,الجماعي، وكانت تصل إلى المرحلة الاشتراكية لسنطرة أكبر.,الجماعي، وكادت تصل إلى المرحلة الاشتراكية لسيطرة أكبر,الجماعي، وكانت تصل إلى المرحلة الاشتراكية لسنطرة أكبر.
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x129 at 0x7575C87DAFD0>,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,مَعَهُ مَنْدِيلاً فِيهِ جُردَ قَتَانَ وَقَطَعَ لَحْمَ سَكْبَاجٍ مُبَرَّد,معه منديلا فيه جردقتان وقطع لحم سكباج مبرد,معه منديلا فيه جرد قتان وقطع لحم سكباج مبرد
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x123 at 0x7575C87DB510>,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,إلى المدارس العامه، ولم يكن في كثير من,إلى المدارس العامه، ولم يكن في كثير من,إلى المدارس العامه، ولم يكن في كثير من
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x108 at 0x7575C87DBA90>,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,: مُسبب لظاهره الاحتباس الحراري وله القدرة على إمتصاص,المسبب لظاهرة الاحتباس الحراري ولها القدرة على امتصاص,: مسبب لظاهره الاحتباس الحراري وله القدرة على إمتصاص
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=970x146 at 0x7575C87E4050>,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,القرص وتكون حضنه الشعاعات في الوسط يليها,القرص وتكون حضنه الشغالات في الوسط يليها,القرص وتكون حضنه الشعاعات في الوسط يليها
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1034x142 at 0x7575C87E45D0>,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا",من الناحية الجيولوجية فإن باطن الريال وحدده لا,"من الناحية ""الجيولوجيه"" فإن باطن الهلال وحده لا",من الناحية الجيولوجية فإن باطن الريال وحدده لا
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x136 at 0x7575C87E4B10>,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,وَيُفِيكُنْ تَخْدِيرٍ مَّجْمُوعٌ مِنْ العَوَامِلِ المُفَسِّرةِ لِهذا الْأَدْعِ,ويمكن تحديد مجموعه من العوامل المفسرة لهذا الأداء,ويفيكن تخدير مجموع من العوامل المفسرة لهذا الأدع
