,image,ground_truth,tesseract,easyocr,ground_truth_t,tesseract_t,easyocr_t
0,<PIL.Image.Image image mode=RGB size=1464x77 at 0x7FA20224B9D0>,"فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه
","فلآن ثه فلان يسميعه أيو رجاء فنسي عونت ثو عفر بن الخطابيه الرايع وحان التنيي حلي الله علية
",صلى الله غليه النطاب الرابع وحان رجاء فنسبى غوف ثه عمر نان ثه نان يسميهم ا ربل النبب,"فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه
","فلآن ثه فلان يسميعه أيو رجاء فنسي عونت ثو عفر بن الخطابيه الرايع وحان التنيي حلي الله علية
",صلى الله غليه النطاب الرابع وحان رجاء فنسبى غوف ثه عمر نان ثه نان يسميهم ا ربل النبب
1,<PIL.Image.Image image mode=RGB size=1187x75 at 0x7FA2016E3390>,"معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
","معي صبرا قال لا تؤاحذى بما نسيت فكانت الأولى من موسى نسيانا فانطلا فإذا غلام يلعب
",صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب,"معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
","معي صبرا قال لا تؤاحذى بما نسيت فكانت الأولى من موسى نسيانا فانطلا فإذا غلام يلعب
",صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
2,<PIL.Image.Image image mode=RGB size=1985x60 at 0x7FA1FA283210>,"في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
","فى الاتنتين ويفعل ذلك فى كل ركعة حتى يفرغ من الصلاة تم يقول حين ينصرف والذي نفسى بيده
",كل ركعة حتى يفرغ من الصلاة ثه يقول حين ينصرف والذي نفسى بيده ويفعل ذلك فى الاثنتين في,"في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
","فى الاتنتين ويفعل ذلك فى كل ركعة حتى يفرغ من الصلاة تم يقول حين ينصرف والذي نفسى بيده
",كل ركعة حتى يفرغ من الصلاة ثه يقول حين ينصرف والذي نفسى بيده ويفعل ذلك فى الاثنتين في
3,<PIL.Image.Image image mode=RGB size=1242x105 at 0x7FA1FA282C10>,"صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن
","صلى الله عليه وسلم خريج حين زاغت الشمس فصلى الظهر فقام على المتبر فذكر الساعة فذكر أن
",_فذكر الساعة فذكران  فصلى الظهر فقام على الله عليه وسلم خرج حين زاغت المنبر الشمس,"صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن
","صلى الله عليه وسلم خريج حين زاغت الشمس فصلى الظهر فقام على المتبر فذكر الساعة فذكر أن
",_فذكر الساعة فذكران  فصلى الظهر فقام على الله عليه وسلم خرج حين زاغت المنبر الشمس
4,<PIL.Image.Image image mode=RGB size=1552x57 at 0x7FA204F63610>,"ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
","ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
",حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم ليتني فيها جذع أكون ليتني,"ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
","ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
",حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم ليتني فيها جذع أكون ليتني
5,<PIL.Image.Image image mode=RGB size=1366x77 at 0x7FA1FA5E1510>,"وسلم العشاء في آخر حياته فلما سلم قام فقال أرأيتكم ليلتكم هذه فإن رأس مائة سنة منها
","وسلو العشاء يي آخر حياتة هلها عله قام فقال أر أْيتِكُو ليلتكو هذه فإن رأس هائة سنة هنها
",حياته ظما سلم تاء فقال أرأيتكم ليلتكم سذه هإن رأس مائة سنة مزها سلم العشاء فبي آ نر,"وسلم العشاء في آخر حياته فلما سلم قام فقال أرأيتكم ليلتكم هذه فإن رأس مائة سنة منها
","وسلو العشاء يي آخر حياتة هلها عله قام فقال أر أيتكو ليلتكو هذه فإن رأس هائة سنة هنها
",حياته ظما سلم تاء فقال أرأيتكم ليلتكم سذه هإن رأس مائة سنة مزها سلم العشاء فبي آ نر
6,<PIL.Image.Image image mode=RGB size=1182x77 at 0x7FA1F91A36D0>,"أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفصة قولي له إن أبا بكر رجل أسيف وإنه
","أمرت
درت سس
عمر فقال

مروا أبا

1
فقلت لحفصة

8
قولي له إن أ بكر

إن آبا

سيف وإنه
",له إن أبا بكر رجل أسيف وإنه فقال مروا أبا بكر يصلى بالناس فقلت لحفصة امرت قولي عمر,"أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفصة قولي له إن أبا بكر رجل أسيف وإنه
","أمرت
درت سس
عمر فقال

مروا أبا

1
فقلت لحفصة

8
قولي له إن أ بكر

إن آبا

سيف وإنه
",له إن أبا بكر رجل أسيف وإنه فقال مروا أبا بكر يصلى بالناس فقلت لحفصة امرت قولي عمر
7,<PIL.Image.Image image mode=RGB size=1217x77 at 0x7FA1F91A3B50>,"فإذا فعلوا ذلك عصموا مني دماءهم وأموالهم إلا بحق الإسلام وحسابهم على الله
","فإطذا فعلوا حذلك عصفوا فزي ذفاءهة وأفوالهه إلا يدق الإسلاة وحسايعه علي اللة
",الله نإذا نعلوا ذلك خصموا مزيى دماءهه وأموالهم إا بحق الإسلام وحسابهم عله,"فإذا فعلوا ذلك عصموا مني دماءهم وأموالهم إلا بحق الإسلام وحسابهم على الله
","فإطذا فعلوا حذلك عصفوا فزي ذفاءهة وأفوالهه إلا يدق الإسلاة وحسايعه علي اللة
",الله نإذا نعلوا ذلك خصموا مزيى دماءهه وأموالهم إا بحق الإسلام وحسابهم عله
8,<PIL.Image.Image image mode=RGB size=1516x57 at 0x7FA1FA2804D0>,"بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
","بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
",صلى الله عليه صلى الله عليه وسلم وكان ميمونة بنت الحارث زوج في بيت النبي النبي خالتي,"بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
","بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
",صلى الله عليه صلى الله عليه وسلم وكان ميمونة بنت الحارث زوج في بيت النبي النبي خالتي
9,<PIL.Image.Image image mode=RGB size=1226x77 at 0x7FA1F91A0790>,"على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
","على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
",عدد قال إن وفد من مالي فأقمت معه شهرين ك حتى أجعل فقال أقم سرير سهما عندي,"على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
","على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
",عدد قال إن وفد من مالي فأقمت معه شهرين ك حتى أجعل فقال أقم سرير سهما عندي
10,<PIL.Image.Image image mode=RGB size=2002x60 at 0x7FA1F91A0A10>,"وجهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغسل قدميه فناولته خرقة فقال بيده هكذا
","وحهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغفسل قدميه فناولته خرقة فقال بيده هكذا
",فقال بيده هكذ جسده ثه تنحى فغسل قدميه فناولته ثه صب وجمه ويديه وغسل رأسه خرقة على,"وجهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغسل قدميه فناولته خرقة فقال بيده هكذا
","وحهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغفسل قدميه فناولته خرقة فقال بيده هكذا
",فقال بيده هكذ جسده ثه تنحى فغسل قدميه فناولته ثه صب وجمه ويديه وغسل رأسه خرقة على
11,<PIL.Image.Image image mode=RGB size=1457x57 at 0x7FA1F91390D0>,"الكتاب آمن بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه
",,حق الله وحق مواليه بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا الكتاب أدى آمن,"الكتاب آمن بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه
",,حق الله وحق مواليه بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا الكتاب أدى آمن
12,<PIL.Image.Image image mode=RGB size=1259x77 at 0x7FA1F91A11D0>,"إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان
","إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان
",من رمضان فقال من كان صلى الله عليه وسلم خطيبا صبيحة تطلب أمامك قام النبي الذى عشرين,"إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان
","إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان
",من رمضان فقال من كان صلى الله عليه وسلم خطيبا صبيحة تطلب أمامك قام النبي الذى عشرين
13,<PIL.Image.Image image mode=RGB size=1318x103 at 0x7FA1F9122790>,"فرفع يديه حين يكبر حتى يجعلهما حذو منكبيه وإذا كبر للركوع فعل مثله وإذا قال سمع الله
","فرفع دددم حين يكب رحنى تخعلهما حذى منكببى و إذ| كبر للنّكوع فعل مثلى ىإذا قال سبع الله
","للر فعل مثلدءإذا قال تلجعلهما حذاو منكبيد وإذا كابر حايف يكابر _للن كوع , ناايد حنى ","فرفع يديه حين يكبر حتى يجعلهما حذو منكبيه وإذا كبر للركوع فعل مثله وإذا قال سمع الله
","فرفع دددم حين يكب رحنى تخعلهما حذى منكببى و إذ| كبر للنكوع فعل مثلى ىإذا قال سبع الله
","للر فعل مثلدءإذا قال تلجعلهما حذاو منكبيد وإذا كابر حايف يكابر _للن كوع , ناايد حنى "
14,<PIL.Image.Image image mode=RGB size=1424x83 at 0x7FA1F91A1E50>,"النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما
","لنبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما
",في قوله ونكتب ما وقال النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم مجاهد,"النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما
","لنبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما
",في قوله ونكتب ما وقال النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم مجاهد
15,<PIL.Image.Image image mode=RGB size=1416x77 at 0x7FA1F91A2510>,"فبينا النبي صلى الله عليه وسلم يخطب في يوم جمعة قام أعرابي فقال يا رسول الله هلك الماء
","فبينا النيي حلى الله علية وسلو ينطب يي يوه جمعة قاو أغرايي فقال ها رسول اللة هلك الفاء
",الماء وسلم يخطب فى يوه جمعة تام أغرايب نتال يا رسول الله هلك صلى الله فبينا النبج عليه,"فبينا النبي صلى الله عليه وسلم يخطب في يوم جمعة قام أعرابي فقال يا رسول الله هلك الماء
","فبينا النيي حلى الله علية وسلو ينطب يي يوه جمعة قاو أغرايي فقال ها رسول اللة هلك الفاء
",الماء وسلم يخطب فى يوه جمعة تام أغرايب نتال يا رسول الله هلك صلى الله فبينا النبج عليه
