,image,ground_truth,tesseract,easyocr,ground_truth_t,tesseract_t,easyocr_t
0,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x114 at 0x7BF63B8D3E10>,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","وَإِذا ما سَألْْيِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ
","لفظهً "" عرب "" عندً عن واذا ما سألتني معنى","وإذا ما سألتني عن معنى لفظه ""عرب"" عند","وإذا ما سأليي عن معنى لفظه ""عرب"" عند
","لفظه "" عرب "" عند عن واذا ما سألتني معنى"
1,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1182x147 at 0x7BF638440450>,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,"أما فَهُم النْصْوصٍ واشتئباط قعانيها بوكو صَحيحٌ دقيق,
",_ النضوص واستنباط قعانيها بؤجه ضجيح دقيق . أما فهم,أما فهم النصوص واستنباط معانيها بوجه صحيح دقيق،,"أما فهم النصوص واشتئباط قعانيها بوكو صحيح دقيق,
",_ النضوص واستنباط قعانيها بؤجه ضجيح دقيق . أما فهم
2,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=994x163 at 0x7BF638440F10>,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,"تَثْير فيها الاسود. وَهَوٍ ما تَتَعارَض مق اكْتشافيٍ
",تثير فيها الاسود وهو ما يتعارض مع اكتشاف,تثير فيها الاسود، وهو ما يتعارض مع اكتشاف,"تثير فيها الاسود. وهو ما تتعارض مق اكتشافي
",تثير فيها الاسود وهو ما يتعارض مع اكتشاف
3,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1315x224 at 0x7BF638441910>,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,"لَى المَرْحَلَةِ الإشترايّة لسَيْطرة أَخُبرَ
الجماعي. وَكَادَت تصل إِلَى المَْحَلَةِ الاشترايّة لِسَيْط
","وكادت تصل إلى المزحلة الاشتاكيًة لسيط ة أفبر الجماعي ,",الجماعي، وكادت تصل إلى المرحلة الاشتراكية لسيطرة أكبر,"لى المرحلة الإشتراية لسيطرة أخبر
الجماعي. وكادت تصل إلى المحلة الاشتراية لسيط
","وكادت تصل إلى المزحلة الاشتاكية لسيط ة أفبر الجماعي ,"
4,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x129 at 0x7BF638441190>,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,"مَعهَ منديلا فيه جردقتان وَفَطعَ لخم سه باج مبرد
",معهً منديلا فيه جردقتان وقطع سحباج آخم مبرد,معه منديلا فيه جردقتان وقطع لحم سكباج مبرد,"معه منديلا فيه جردقتان وفطع لخم سه باج مبرد
",معه منديلا فيه جردقتان وقطع سحباج آخم مبرد
5,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x123 at 0x7BF638442A90>,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,"إلى المدارس العامه, وَل يَكْن في كَثِيرٍ مِن
",العامه  وًلم يكن فى كثير المدارس من,إلى المدارس العامه، ولم يكن في كثير من,"إلى المدارس العامه, ول يكن في كثير من
",العامه  ولم يكن فى كثير المدارس من
6,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x108 at 0x7BF638443250>,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,"المسيْب لظاهرة الاحتباس الحراري ونا القدرَة على إمتصاص
",و / على امتصاص ولها المسبب لظاهرة الاحتباس القدرة الحراري,المسبب لظاهرة الاحتباس الحراري ولها القدرة على امتصاص,"المسيب لظاهرة الاحتباس الحراري ونا القدرة على إمتصاص
",و / على امتصاص ولها المسبب لظاهرة الاحتباس القدرة الحراري
7,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=970x146 at 0x7BF638442550>,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,"ننه الشَغْالات فى الوَسَط يَليها
الفُرْص وَتَكُون حِضْنه | في
", وتكون حضنه الشغالات في الوسط يليها القرص,القرص وتكون حضنه الشغالات في الوسط يليها,"ننه الشغالات فى الوسط يليها
الفرص وتكون حضنه | في
", وتكون حضنه الشغالات في الوسط يليها القرص
8,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1034x142 at 0x7BF63B89D550>,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا","من الناجِيَةٍ ""الجيولوجيه"" فَإِنَّ باطِن البلال وَحْدَهُ لا
"," الإطلال وخدد لا من الناجية "" الجيولوجيه "" فإنً باطن","من الناحية ""الجيولوجيه"" فإن باطن الهلال وحده لا","من الناجية ""الجيولوجيه"" فإن باطن البلال وحده لا
"," الإطلال وخدد لا من الناجية "" الجيولوجيه "" فإن باطن"
9,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x136 at 0x7BF63B89D8D0>,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,"سمه مه 5 م ا مهم اه

وَيُفْكِن تَخْديد مَجْمُوعُهَ من القَوامِلُ المٌفْسَرَّة لهذا الداع
",قجموعة من القوامل القفسترة يهذا ويفين اللآ داع تخديد,ويمكن تحديد مجموعه من العوامل المفسرة لهذا الأداء,"سمه مه 5 م ا مهم اه

ويفكن تخديد مجموعه من القوامل المفسرة لهذا الداع
",قجموعة من القوامل القفسترة يهذا ويفين اللآ داع تخديد
