,text,prediction
1050,			وأسوق مثلًا آخر وأخيرًا، لاختلاف الرأي الموهوم، حين تختلف العبارات في لفظها، حتى إذا	ما أمعنت النظر في مدلولاتها، ألفيتها تستهدف هدفًا واحدًا، والمثل الذي أسوقه هو اختلاف	القائلين بالفردية والاجتماعية، ففي ظني أنه لو ترك التقابل بين الطرفين هكذا مطلقًا من	القيود، لأفرغناه من معناه، فالمعنى الحقيقي المقصود هو ألا ينشط الفرد في ميادين العمل	والفكر إلَّا بما عساه أن يخدم المجموع، لكن هذا نفسه لا ينفي أن يكون الفرد في نشاطه فردًا،	وإنما هو مطالب بنوع معين من النشاط الذي يحقق به فرديته والذي يفيد المجتمع في الوقت نفسه،	إذ قد ينشط الفرد بما يهدم المجتمع، وإذن فليس الشرط هو ألا ينشط الفرد من حيث هو فرد، بل	الشرط هو أن يوجه نشاطه الفردي نحو خدمة الناس، افرض أن الفرد الذي نخاطبه بهذا الكلام	يحترف مهنة الحكم في لعبة الكرة، فكيف يمكن أن يمارس حرفته إلا من حيث هو فرد؟ لهذا فنحن لا	نطالبه بأن يحد من فرديته، بل نطالبه بأن يوجه نشاطه الفردي في أدائه لحرفته نحو هدف معين,"
			وأسوق مثلًا آخر وأخيرًا، لإختلاف الرأي الموهوم، حين تختلف العبارات في لفظها، حتى إذا
	ما أمعنت النظر في مدلولاتها، ألفيتها تستهدف هدفًا واحدًا، والمثل الذي أسوقه هو اختلاف
	القائلين بالفردية والاجتماعية، ففي ظني أنه لو ترك التقابل بين الطرفين هكذا مطلقًا من
	القيود، لأفرغناه من معناه، فالمعني الحقيقي المقصود هو ألا ينشط الفرد في ميادين العمل
	والفكر إلَّا بما يساهُم فيه أن يندم المجموع، لكن هذا نفسه لا ينفي أن يكون الفرد في نشاطه
	فردًا، وإنما هو مطالب بنوع معين من النشاط الذي يسقِف به فرديته والذي يفيد المجتمع في الوقت
	نفسه، إذ قد ينشط الفرد بما يهدم المجتمع، وإذن فليس الشرط هو ألا ينشط الفرد من حيث هو
	فرد، بل الشرط هو أن يوجه نشاطه الفردي نحو خدمة الناس، أفرض أن الفرد الذي غناط به هذا
	الكلام، سترف مهنة الحكم، في لعبة الكرة، فكيف يمكن أن يمارس حرفته إلَّا من حيث هو فرد؟
	لهذا فنحن لا نطالبه بأن يحد من فرديته، بل نطالبه بأن يوجه نشاطه الفردي في أدائه لحرفته
	نحو هدف معين.
				"
1051,"
			نحن تعودنا تقسيم الكلام إلى منظوم ومنثور، وعندما نقرأ نثر عبد الحميد ونثر ابن
	المقفع تُلهمنا هذه القراءة فكرة جديدة، فتقسيم الكلام إلى منثور ومنظوم لا يغني كثيرًا
	من الناحية الأدبية.
				
			ذلك أننا، عندما نقرأ عبد الحميد وابن المقفع، نجد في أنفسنا من اللذة مثل ما نجده
	عندما نقرأ زيادًا والحجاج وجريرًا والفرزدق والأخطل.
				
			ومع ذلك فنحن عندما نقرأ عبد الحميد لا نسمعه ولا نراه، ولا نكوِّن لأنفسنا فكرة عنه،
	وإنما نفكر في شيء واحد، هو هذا الكلام الذي عندنا، ولا نسمع أنفسنا، بل يقرأ القارئ
	بعينه، وقلما يقرأ القارئ بصوته، وخصوصًا في هذا العصر.
				
			ونحن عندما نقرأ عبد الحميد أو ابن المقفع، لا نجد عندهما اللذة الفنية، إذا كنا في
	طبقة واحدة، أو اشتركنا في ثقافة واحدة.
				
			وإنما يقرؤهما منا ذوو الثقافة العالية والساذجة والمتوسطة والبسيطة، وكلنا يجد لذة
	ومتعة فنية.
				","
			نحنعودنا تقسيم الكلام إلى منظوم ومنثور، وعندما نقرأ نثر عبد الحميد ونثر ابن المقفع
	فَلَيْمنا هذه القراءة فكرة جديدة، فتقسيم الكلام إلى منثور ومنظوم لا يغني كثيرًا من
	الناحية الأدبية.
				
			ذلك أننا، عندما نقرأ عبد الحميد وابن المقفع، نجد في أنفسنا من اللذة مثل ما نجده
	عندما نقرأ زيادًا والحجاج وجريرًا والفرزدق والأخطل.
				
			ومع ذلك فنحن عندما نقرأ عبد الحميد لا نسمعه ولا نراه، ولا نكوِّن لأنفسنا فكرة عنه،
	وإنما نفكر في شيء واحد، هو هذا الكلام الذي عندنا، ولا نسمع أنفسنا، بل يقرأ القارئ
	بعينه، وقلما يقرأ القارئ بصوته، وخصوصًا في هذا العصر.
				
			ونحن عندما نقرأ عبد الحميد أو ابن المقفع، لا نجد عندهما اللذة الفنية، إذا كنا في
	طبقة واحدة، أو اشتركنا في ثقافة واحدة.
				
			وإنما يقرؤهما منا ذوو الثقافة المالية والساذجة والمتوسطة والبسيطة، وكلنا يجد لذة
	ومتعة فنية.
				"
1052,"
			وكان صاحبي يعرف أن للحياة سنتها الطبيعية التي لا تتغير، وأنه لخاضع
	لهذه السنة راضٍ بها؛ فهو يتقبل المرض في أبنائه لأن من طبيعة الأمور
	أن يمرض الأبناء، وهو ينفق على علاجهم في صبر ويستقبل شفاءهم وكأنه
	أعجوبةٌ  لم يكن يتصور أنها ستحقق؛ فقد كان يحتفل بالمناسبات السعيدة
	احتفالًا رائعًا قَل أن تجده المناسبةُ السعيدة عند غيره من الناس؛ فلو
	أن هذه المناسبات كانت ذات عقلٍ أو كانت صاحبة منطقٍ لما انقطعَت عن
	زيارته أبدًا.
				
			وكان يعلم أن السن حين تتقدَّم به أو بزوجه التي تُقارِبه فمن
	الطبيعي أن يواجها هذه السن بما يتفق وإيَّاها من تكاسُل أو
	مرض.
				
			وهكذا كان صاحبي يمثل في نظري نموذجًا فريدًا من الإنسان الرضي
	الخلُق الهادئ المؤمن بالله المتقبل لكل ما يوافيه به القدَر، في غير
	جزع عند الشدة وفي نشوةٍ عارمة عند الخير.
				
			حتى كان يومٌ قرأتُ في الجرائد أنه رُقِّي رئيسًا للمصلحة التي يعمل
	بها، ففرحتُ له فرحة تتناسب وما أُكنُّه له من حب وتقدير. وسارعتُ
	فألغيت ما كان مقدَّرًا ليومي هذا من مواعيد، وذهبتُ إلى المصلحة
	لأُهنِّئه.
				","
			وكان صاحبي يعرف أن للحياة سنتها الطبيعية التي لا تتغير، وأنه لخاضع
	لهذه السنة راضٍ بها؛ فهو يتقبل المرض في أبنائه لأن من طبيعة الأمور
	أن يمرض الأبناء، وهو ينفق على علاجهم في صبر ويستقبل شفاءهم وكأنه
	أعجوبةٌ لم يكن يتصور أنها ستحقق؛ فقد كان يحتفل بالمناسبات السعيدة
	احتفالًا رائعًا قَل أن تجده المناسبةُ السعيدة عند غيره من الناس؛ فلو
	أن هذه المناسبات كانت ذات عقلٍ أو كانت صاحبة منطقٍ لما انقطعت عن
	زيارته أبدًا.
				
			وكان يعلم أن السن حين تتقدَّم به أو بزوجه التي تُقاربه فمن
	الطبيعي أن يواجهها هذه السن بما يتفق وإيَّاها من تكاسل أو
	مرض.
				
			وهكذا كان صاحبي يمثل في نظري نموذجًا فريدًا من الإنسان الرضي
	الخلَّاق الهادئ المؤمن بالله المتقبل لكل ما يوافيه به القدَر، في غير
	جزع عند الشدة وفي نشوةٍ عارمة عند الخير.
				
			حتى كان يومٌ قرأتُ في الجرائد أنه رُقِّي رئيسًا للمصلحة التي يعمل
	بها، ففرحَت له فرحة تتناسب وما أُكنُّه له من حب وتقدير. وسارعتُ
	فألغيت ما كان مقرَّرًا ليومٍ هذا من مواعيد، وذهبتُ إلى المصلحة
	لأُهنِّئه.
				"
1053,"	الفترة فحسب، بل ابتدأ كتابتها — كما رأينا — منذ مطلع حياته الأدبية؛ أيْ منذ كتب مسرحية	«المرأة الجديدة» في سنة ١٩٢٣، كما أنه واصل كتابة المسرحيات الاجتماعية بعد سنة ١٩٥١، بل	وألَّف بعد ثورة ٢٣ يوليو سنة ١٩٥٢ مسرحيات اجتماعية تصدر عن فلسفة اجتماعية بذاتها، وهي	الفلسفة الاشتراكية التي نادت بها هذه الثورة، والتي تقدِّس العمل وتعتبره الوسيلة الوحيدة	لكسب العيش، وكل هذا واضح في مسرحية «الأيدي الناعمة» التي كتبها توفيق الحكيم سنة ١٩٥٤،	ونفس الفلسفة تَحدَبُ على الطبقة العاملة في الريف وتسعى إلى أن ترفع عنها غبن القرون وذلها،	وتمكِّن لها من رد جشع الإقطاعيين وسيطرتهم التي كانت تُلقِي الفزع بل الوهم في نفوس أبنائها،	على نحوِ ما صوَّر توفيق الحكيم نفسه في مسرحية «الصفقة» التي نشرها سنة ١٩٥٧.				
			وكان من الأفضل أن يضم «مسرح المجتمع» جميعَ مسرحيات المؤلف الاجتماعية القديمة، بما فيها
	الخاص بمشكلة المرأة، ومسرحيته الجديدة و«الأيدي الناعمة» ذات الفلسفة الاجتماعية المحددة
	والموجودة في مجموعة «المسرح المنوَّع»، الذي يضم أشتاتًا من المسرحيات في تاريخ إنتاجه دون
	أي ترتيب زمني أو موضوعي فني.
				","الفترة فحسب، بل ابتدأ كتابتها — كما رأينا — منذ مطلع حياته الأدبية؛ أي
						منذ كتب مسرحية «المرأة الجديدة» في سنة ١٩٢٣، كما أنه واصل كتابة
						المسرحيات الاجتماعية بعد سنة ١٩٥١، بل وألَّف بعد ثورة ٢٣ يوليو سنة
						١٩٥٢ مسرحيات اجتماعية تصدر عن فلسفة اجتماعية بذاتها، وهي الفلسفة
						الاشتراكية التي نادت بها هذه الثورة، والتي تقدِّس العمل وتعتبره الوسيلة
						الوحيدة لكسب العيش، وكل هذا واضح في مسرحية «الأيدي الناعمة» التي
						كتبها توفيق الحكيم سنة ١٩٥٤، ونفس الفلسفة تَحدَبُ على الطبقة العاملة في
						الريف وتسعى إلى أن ترفع عنها غبن القرون وذلها، وتمكِّن لها من رد جشع
						الإقطاعيين وسيطرتهم التي كانت تُلقِي الفزع بل الوهم في نفوس أبنائها،
						على نحو ما صوَّر توفيق الحكيم نفسه في مسرحية «الصفقة» التي نشرها سنة
						١٩٥٧.وكان من الأفضل أن يضم «مسرح المجتمع» جميعَ مسرحيات المؤلف الاجتماعية
						القديمة، بما فيها الخاص بمشكلة المرأة، ومسرحيته الجديدة و«الأيدي
						الناعمة» ذات الفلسفة الاجتماعية المحددة وال موجودة في مجموعة «المسرح
						المنوَّع»، الذي يضم أشتاتًا من المسرحيات في تاريخ إنتاجه دون أي ترتيب
						زمني أو موضوعي فني."
1054,"
			قبل حدوث تحول الزراعة، حين وجد مجموعة من الصيادين وجامعي الثمار الرحَّالة أنفسهم
	في ظروف معيشية مُواتية، وبدأ عددهم يزيد بحيث لم يعُد مجرد بضع عشرات، كان الأخذ
	بأنماط التقاسم والتعاون العادية سيصير غير عملي أكثر فأكثر، وكان الناس سينزعون
	للانقسام إلى فصائل، وكان النزاع بين الفصائل المختلفة سيصبح أكثر تشعبًا وتكرارًا. في
	نهاية المطاف، مالت هذه الجماعات البدوية العظيمة الحجم للانقسام إلى مجموعتين أو أكثر،
	وذهبت كلٌّ منها في سبيلها. وهذا مثال على عملية «الانقسام» التي تقع من وقت لآخر في
	المجتمع الانقسامي الاندماجي المعهود لدى البشر وغيرهم من الرئيسيات. كان نمط الحياة
	البدوي يجعل الانتقال إلى أراضٍ جديدة أمرًا سهلًا وطبيعيًّا بالنسبة إلى الجماعات،
	وكانت عملية الانقسام تجعل حجم جماعات الصيد وجمع الثمار صغيرًا نسبيًّا؛ مما سهَّل
	الحفاظ على التضامن ويسَّر التعاون بين أفراد الجماعة.
				","
			قبل حدوث تحول الزراعة، حين وجد مجموعة من الصيادين وجامعي الثمار الرحَّالة أنفسهم
	في ظروف معيشية مُواتية، وبدأ عددهم يزيد بحيث لم يعُد مجرد بضع عشرات، كان الأخذ
	بأنماط التقاسم والتعاون العادية سيصير غير عملي أكثر فأكثر، وكان الناس سينزعون
	للانقسام إلى فصائل، وكان النزاع بين الفصائل المختلفة سيصبح أكثر تشعبًا وتكرارًا. في
	نهاية المطاف، مالت هذه الجماعات البدوية العظيمة الحجم للانقسام إلى مجموعتين أو أكثر،
	وذهبت كلٌّ منها في سبيلها. وهذا مثال على عملية «الانقسام» التي تقع من وقت لآخر في
	المجتمع الانقسامي الاندماجي المعهود لدى البشر وغيرهم من الرئيسيات. كان نمط الحياة
	البدوي يجعل الانتقال إلى أراضٍ جديدة أمرًا سهلًا وطبيعيًّا بالنسبة إلى الجماعات،
	وكانت عملية الانقسام تجعل حجم جماعات الصيد وجمع الثمار صغيرًا نسبيًّا؛ مما سهَّل
	الحفاظ على التضامن ويسَّر التعاون بين أفراد الجماعة.
				"
1055,"
			ولاحظ «أحمد» أسلوب التمويه في المباني … وكان يُحاول تذكُّر كل شيء
	بدقةٍ؛ لأنه سيحتاج إلى هذه المعلومات فيما بعد … ودخلا غرفةً طلب منه
	المدير الانتظار فيها … بينما دخل المدير إلى غرفةٍ أخرى مُلحقة بها
	…
				
			ولم يحاول «أحمد» أن يقوم بأي أعمالٍ تُثير الشك فيه … فعندما أخذ
	يُراقب ما في الغرفة لاحظ وجود ساعة حائط من نوعٍ خاص يعرفه «أحمد» أن
	بها كاميرا «فيديو»، تُظهر صورته في غرفة مُراقبة …
				
			بعد دقائق عاد المدير ومعه رجلٌ آخر يرتدي معطفًا أبيض وجلسا أمام
	«أحمد»، وتكلَّم الرجل ذو المعطف الأبيض قائلًا:
				
			إن عملك معنا يُسعدنا جدًّا خاصة بعد الكلام الذي قاله عنك المدير …
	ستعمل هنا في مشروعٍ ذري جديد … وقد قرَّرْنا اختيارك بعد أن أثبتَّ
	جدارتك في الأيام التي عملتَ فيها معنا … ستكون مساعدًا للدكتور
	«فوجل»، وهو من أبرز علمائنا … إنه يمر بأزمةٍ صحيةٍ خفيفة ويحتاج إلى
	مساعدٍ كفء … وسيسعد كثيرًا بالعمل معك …
				","
			ولا حظ «أحمد» أسلوب التمويه في المباني … وكان يُحاول تذكُّر كل
	شيء بدقةٍ؛ لأنه سيحتاج إلى هذه المعلومات فيما بعد … ودخل غرفةً طلب
	منه المدير الانتظار فيها … بينما دخل المدير إلى غرفةٍ أخرى مُلحقة
	بها.
				
			ولم يحاول «أحمد» أن يقوم بأي أعمالٍ تُثير الشك فيه … فعندما أخذ
	يُراقب ما في الغرفة لاحظ وجود ساعة حائط من نوعٍ خاص يعرفه «أحمد»
	أن بها كاميرا «فيديو»، تُظهر صورته في غرفة مُراقبة …
				
			بعد دقائق عاد المدير ومعه رجلٌ آخر يرتدي معطفًا أبيض وجلسا أمام
	«أحمد»، وتكلَّم الرجل ذو المعطف الأبيض قائلًا:
				
			إن عملك معنا يُسعدنا جدًّا خاصة بعد الكلام الذي قاله عنك المدير …
	ستعمل هنا في مشروعٍ ذري جديد … وقد قرَّرْنا اختيارك بعد أن أثبتَّ
	جدارتك في الأيام التي عملتَ فيها معنا … ستكون مساعدًا للدكتور
	«فوجل»، وهو من أبرز علمائنا … إنه يمر بأزمةٍ صحيةٍ خفيفة ويحتاج إلى
	مساعدٍ كفء … وسيسعد كثيرًا بالعمل معك …
				"
1056,"تقنية المعلومات الرقميةليست قدرة الإنسان على التعلم بأكثر صفاته بشريةً؛ إذ يتشارك فيها مع عدة أنواع أخرى،
	وإنما أكثر ما يميزه كبشرٍ قدرته على تعليم وتخزين ما ابتكره الآخرون وعلَّموه
	إياه.
			في عام ١٨٢٢م صمَّم عالم الرياضيات والمهندس والمخترع البريطاني تشارلز بابيج آلةً يمكنها
	أداء حسابات لوغاريتمية ومثلَّثية معقَّدة استخدمها بحَّارة ومُهندسون وعلماء، وكانت الآلة
	قادرة على فعل هذا دون احتمالية وقوع خطأ. أسمى بابيج اختراعه محرك فرق، وقد صُنع بالكامل
	من آلياتٍ دقيقة، بآلاف العجلات وأعمدة التدوير والتروس لكن من دون أجزاء كهربائية. والسبب
	بسيط؛ إذ ستمضي سنوات قبل أن ينجح مايكل فاراداي وآخرون في صنع أول محركات كهربائية. حتى
	ذاك الوقت لم يكن مُتاحًا مصدرٌ ميسور التكلفة ومضمونٌ للطاقة الكهربائية، ولم يكن قد
	اختُرع بعدُ أيٌّ من المرحلات والصمامات المفرغة وسائر المكوِّنات الكهربائية اللازمة لصنع
	حاسب إلكتروني. 
				","تقنية المعلومات الرقمية
			ليست قدرة الإنسان على التعلم بأكثر صفاتِه إشراقًا؛ إذ يشارك فيها مع عدة أنواع أخرى،
	وإنما أكثر ما يميزه كبشرٍ قدرته على تعليم وتخزين ما ابتكره الآخرون وعلَّموه إياه.
				
			في عام ١٨٢٢م صمَّم عالم الرياضيات والمهندس والمخترع البريطاني تشارلز بابيج آلةً يمكنها
	أداء حسابات لوغاريتمية ومثلثية معقَّدة استخدمها بحارة ومُهندسون وعلماء، وكانت الآلة
	قادرة على فعل هذا دون احتمالية وقوع خطأ. أُسِمَت بابيج اختراعه محرك فرق، وقد صُنع
	بالمَجمل من آلافٍ دقيقة، بآلاف العجلات وأعمدة التدوير والتروس لكن من دون أجزاءٍ
	كهربائية. والسبب بسيط؛ إذ ستمضي سنوات قبل أن ينجح مايكل فاراداي وآخرون في صنع أول
	محركات كهربائية، حتى ذلك الوقت لم يكن مُتاحًا مصدرٌ ميسور التكلفة ومضمونٌ للطاقة
	الكهربائية، ولم يكن قد اخترع بعدُ أيٌّ من المرحلات والصمامات المفرغة وسائر المكوِّنات
	الكهربائية اللازمة لصنع حاسبٍ إلكتروني.
				"
1057,"
			وأحداث التاريخ سلسلة من الضغط على اختلاف الأشكال ومحاولة النفس تحررها من الضغط
	والأغلال غير العاقلة، وهي دائمًا في خطوات إلى الأمام نحو تحقيق هذه الغاية.
				
			ومن الخطأ في نظري تفسير كل شيء بالمادة وإهمال الروح، والقول بأن الإنسان مسير بجيبه لا
	بروحه، إن النظر إلى المادة وحدها جعل الغرض المنشود هو القوة المادية بالمال وبالقوة
	الحربية، فماذا كانت نتيجة ذلك؟ نتيجته صراخ الأرض حتى ضجت من صراخها السماء، وتلوين
	الخرائط بمالك ومستعمر، واستعباد أكثر الإنسانية لأقلها، ولذة الأقلين بألم الأكثرين، إن
	الأمم ظلت تتسابق في القوة المادية حتى ضاعت حكمة حكيمها، وفلسفة فيلسوفها، وعميت عن الغاية
	من القوة، واتخذتها غاية لا وسيلة، حتى ذهب عن الأرض سلمها وجمالها؛ وفي التاريخ ما يرشدنا
	إلى أن القوة المادية كالقوة العسكرية تنتهي دائمًا بتحطم نفسها، كان كذلك اليونان
	والرومان، والقرطاجينيون، ومن أتى بعدهم إلى اليوم.
				","وأحداث التاريخ سلسلة من الضغط على اختلاف الأشكال ومحاولة النفس تحررها من الضغط والأغلال غير العاقلة، وهي دائمًا في خطوات إلى الأمام نحو تحقيق هذه الغاية.
			ومن الخطأ في نظري تفسير كل شيء بالمادة وإهمال الروح، والقول بأن الإنسان مسير بجيبه لا
	بروحه، إن النظر إلى المادة وحدها جعل الغرض المنشود هو القوة المادية بالمال وبالقوة
	الحربية، فماذا كانت نتيجة ذلك؟ نتيجته صراخ الأرض حتى ضجت من صراخها السماء، وتلوين
	الخرائط بمالك ومستعمر، واستعباد أكثر الإنسانية لأقلها، ولذة الأقلين بألم الأكثرين، إن
	الأمم ظلت تتسابق في القوة المادية حتى ضاعت حكمة حكيمها، وفلسفة فيلسوفها، وعميت عن الغاية
	من القوة، واتخذتها غاية لا وسيلة، حتى ذهب عن الأرض سلمها وجمالها؛ وفي التاريخ ما يرشدنا
	إلى أن القوة المادية كالقوة العسكرية تنتهي دائمًا بتحطم نفسها، كان كذلك اليونان
	والرومان، والقرطاجينيون، ومن أتى بعدهم إلى اليوم.
				"
1058,"
			ردَّ «محب»: شاهدتها تسقط من الزعيم الأزرق أثناء إطلاق الديناميت فأسرعتُ
	بالتقاطها.
				","
			ردَّ «محب»: شاهدتها تسقط من الزعيم الأزرق أثناء إطلاق الديناميت فأسرعتُ
	بالتقاطها.
				"
1059,"
			إن ما نسميه ﺑ «السياسة» إن هو إلا خطة للعمل في هذا الميدان أو ذاك، نرسمها لنقوم
	بتنفيذها ابتغاء تغيير الواقع بواقع آخر أفضل منه فهي دائمًا «فكرة» يراد لها أن تهدي
	السائرين في طريق التنفيذ، فلو أصررنا على أن الواقع الاقتصادي أولًا فالفكر ثانيًا، نتج عن
	ذلك حتمًا أن تنتفي «السياسة» ويبطل أثرها، ويصبح محالًا على قوم أن يغيروا ما بهم حتى وإن
	غيروا ما بأنفسهم؛ أعني أنه يكون محالًا عليهم أن يغيروا واقعهم حتى وإن تغيرت أفكارهم،
	والواقع المشهود صارخ بما في ذلك من بطلان.
				
			لقد يختلف الدارسون لماركس في فهم ما يريده بالنسبة إلى العلاقة بين الفكر من جهة والواقع
	من جهة أخرى، أهو من الفلاسفة الواحديين الذين يردون كل شيءٍ إلى أصل واحد (والأصل الواحد في
	هذه الحالة هو المادة) أم هو من الفلاسفة الثنائيين الذين يردون الأشياء إلى أصلين، هما
	المادة والعقل معًا، فلو كان ماركس من الفريق الأول صراحة، لكانت ظواهر العقل كلها في رأيه
	فروعًا تتفرع عن أصل مادي، ولو كان من الفريق الثاني صراحة، لكان العقل (أو الروح) والمادة
	عنده أصلين متساويين في درجة الأصالة، لا يتفرع أحدهما عن الآخر.
				","
			إن ما نسميه ب «السياسة» إن هو إلا خطة للعمل في هذا الميدان أو ذاك، نرسمها لنقوم
	بتنفيذها ابتغاء تغيير الواقع بواقعٍ أفضل منه فهي دائمًا «فكرة» يراد لها أن تهدي
	السائرين في طريق التنفيذ، فلو أصررنا على أن الواقع الاقتصادي أولًا فالفكر ثانيًا، نتج
	عن ذلك حتمًا أن تنتفي «السياسة» ويبطل أثرها، ويصبح محالًا على قوم أن يغيروا ما بهم
	حتى وإن غيروا ما بأنفسهم؛ أعني أنه يكون محالًا عليهم أن يغيروا واقعهم حتى وإن تغيرت
	أفكارهم، والواقع المشهود صارخ بما في ذلك من بطلان.
				
			لقد يختلف الدارسون لماركس في فهم ما يريده بالنسبة إلى العلاقة بين الفكر من جهة
	والواقع من جهة أخرى، أهو من الفلاسفة الواقعيين الذين يردون كل شيءٍ إلى أصل واحد
	(والأصل الواحد في هذه الحالة هو المادة) أم هو من الفلاسفة التخليديين الذين يردون
	الأشياء إلى أصلين، هما المادة والعقل معًا، فلو كان ماركس من الفريق الأول صراحة،
	لَكانَت طَوْره العقل كلها في رأيه فروعًا تتفرع عن أصل مادي، ولو كان من الفريق الثاني
	صراحة، لَكان العقل (أو الروح) والمادة عنده أصلين متساويين في درجة الأصالة، لا يتفرع
	أحدهما عن الآخر.
				"
