,text,prediction
500,"فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه
",_
501,"معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
",_
502,"في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
",_
503,"صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن
",_
504,"ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
",_
505,"وسلم العشاء في آخر حياته فلما سلم قام فقال أرأيتكم ليلتكم هذه فإن رأس مائة سنة منها
",_
506,"أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفصة قولي له إن أبا بكر رجل أسيف وإنه
",_
507,"فإذا فعلوا ذلك عصموا مني دماءهم وأموالهم إلا بحق الإسلام وحسابهم على الله
",_
508,"بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
",_
509,"على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
",_
510,"وجهه ويديه وغسل رأسه ثم صب على جسده ثم تنحى فغسل قدميه فناولته خرقة فقال بيده هكذا
",_
511,"الكتاب آمن بنبيه وآمن بمحمد صلى الله عليه وسلم والعبد المملوك إذا أدى حق الله وحق مواليه
",_
512,"إن الذي تطلب أمامك قام النبي صلى الله عليه وسلم خطيبا صبيحة عشرين من رمضان فقال من كان
",_
513,"فرفع يديه حين يكبر حتى يجعلهما حذو منكبيه وإذا كبر للركوع فعل مثله وإذا قال سمع الله
",_
514,"النبي صلى الله عليه وسلم يا بني سلمة ألا تحتسبون آثاركم وقال مجاهد في قوله ونكتب ما
",_
515,"فبينا النبي صلى الله عليه وسلم يخطب في يوم جمعة قام أعرابي فقال يا رسول الله هلك الماء
",_
516,"أما إني لم أفارقه ولكن سمعته يقول من كذب علي فليتبوأ مقعده من النار
",_
517,"كنا نؤمر أن نخرج يوم العيد حتى نخرج البكر من خدرها حتى نخرج الحيض فيكن خلف الناس
",_
518,"محصور فقال إنك إمام عامة ونزل بك ما ترى ويصلي لنا إمام فتنة ونتحرج فقال الصلاة أحسن
",_
519,"فشربت حتى إني لأرى الري يخرج في أظفاري ثم أعطيت فضلي عمر بن الخطاب قالوا فما أولته يا
",_
520,"عن النبي صلى الله عليه وسلم قال كانت بنو إسرائيل يغتسلون عراة ينظر بعضهم إلى بعض وكان
",_
521,"شن معلقة فتوضأ منها فأحسن وضوءه ثم قام يصلي قال بن عباس فقمت فصنعت مثل ما صنع ثم
",_
522,"عبد الله بن شداد قال سمعت ميمونة تقول كان النبي صلى الله عليه وسلم يصلي وأنا إلى جنبه
",_
523,"مغيرة جعل يصب الماء عليه وهو يتوضأ فغسل وجهه ويديه ومسح برأسه ومسح على الخفين
",_
524,"عليه وسلم كان يصلي قبل الظهر ركعتين وبعدها ركعتين وبعد المغرب ركعتين في بيته وبعد
",_
525,"أيوب الأنصاري قال قال رسول الله صلى الله عليه وسلم إذا أتى أحدكم الغائط فلا يستقبل القبلة
",_
526,"بن عبد الرحمن أن أبا هريرة قال سمعت رسول الله صلى الله عليه وسلم يقول تفضل صلاة الجميع
",_
527,"فقال ألا وقول الزور فما زال يكررها وقال بن عمر قال النبي صلى الله عليه وسلم هل بلغت ثلاثا
",_
528,"يقول سمعت أبا هريرة يقول قال رسول الله صلى الله عليه وسلم صلاة الرجل في الجماعة تضعف على
",_
529,"بتور من ماء فكفأ على يديه فغسلهما ثلاث مرار ثم أدخل يده في التور فمضمض واستنثر ثلاث
",_
530,"محمد أن عباد بن تميم أخبره أن عبد الله بن زيد الأنصاري أخبره أن النبي صلى الله عليه وسلم
",_
531,"وسلم كان في سفر فقرأ في العشاء في إحدى الركعتين بالتين والزيتون
",_
532,"الرجال والنساء يتوضؤون في زمان رسول الله صلى الله عليه وسلم جميعا
",_
533,"ثم عرج بي حتى ظهرت لمستوى أسمع فيه صريف الأقلام قال بن حزم وأنس بن مالك قال النبي صلى
",_
534,"الأرض ثم عاد إلى المنبر ثم ركع ثم رفع رأسه ثم رجع القهقري حتى سجد بالأرض فهذا شأنه قال
",_
535,"نفرتهم وأيس من الإيمان قال ردوهم علي وقال إني قلت مقالتي آنفا أختبر بها شدتكم على
",_
536,"أبي سعيد المقبري عن أبي هريرة عن النبي صلى الله عليه وسلم قال إن الدين يسر ولن يشاد
",_
537,"غيره عثمان فزاد فيه زيادة كثيرة وبنى جداره بالحجارة المنقوشة والقصة وجعل عمده من
",_
538,"وقال أبو برزة كان النبي صلى الله عليه وسلم يستحب تأخيرها
",_
539,"يمرها كذلك على الرأس حتى مست إبهامه طرف الأذن مما يلي الوجه على الصدغ وناحية اللحية لا
",_
540,"تعالى عنه بينما هو يخطب يوم الجمعة إذ دخل رجل فقال عمر لم تحتبسون عن الصلاة فقال
",_
541,"الأرض مسجدا وطهورا فأيما رجل من أمتي أدركته الصلاة فليصل وأحلت لي المغانم ولم تحل لأحد
",_
542,"قتادة حدثه أنه سمع عبيد الله الخولاني أنه سمع عثمان بن عفان يقول عند قول الناس فيه حين
",_
543,"خفيفتين قبل صلاة الفجر بعد أن يستبين الفجر ثم اضطجع على شقه الأيمن حتى يأتيه المؤذن
",_
544,"الربيع قال سمعت عتبان بن مالك الأنصاري قال استأذن النبي صلى الله عليه وسلم فأذنت له
",_
545,"أرأيت الركعتين قبل صلاة الغداة أطيل فيهما القراءة فقال كان النبي صلى الله عليه وسلم
",_
546,"كان يرى عبد الله بن عمر رضى الله تعالى عنهما يتربع في الصلاة إذا جلس ففعلته وأنا يومئذ
",_
547,"يعلمون ما فيهما لأتوهما ولو حبوا لقد هممت أن آمر المؤذن فيقيم ثم آمر رجلا يؤم الناس ثم
",_
548,"سمعت أبا أمامة يقول صلينا مع عمر بن عبد العزيز الظهر ثم خرجنا حتى دخلنا على أنس بن
",_
549,"ظهر بيتنا فرأيت رسول الله صلى الله عليه وسلم قاعدا على لبنتين مستقبل بيت المقدس
",_
550,"في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
",_
