,text,prediction
500,"فلان ثم فلان يسميهم أبو رجاء فنسي عوف ثم عمر بن الخطاب الرابع وكان النبي صلى الله عليه
",PLAIN TEXT REPRESENTATION OF DOCUMENT
501,"معي صبرا قال لا تؤاخذني بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
",معي صبرا قال لا تؤاخذيي بما نسيت فكانت الأولى من موسى نسيانا فانطلقا فإذا غلام يلعب
502,"في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
",في الاثنتين ويفعل ذلك في كل ركعة حتى يفرغ من الصلاة ثم يقول حين ينصرف والذي نفسي بيده
503,"صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن
", صلى الله عليه وسلم خرج حين زاغت الشمس فصلى الظهر فقام على المنبر فذكر الساعة فذكر أن
504,"ليتني فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
",نتي فيها جذع ليتني أكون حيا إذ يخرجك قومك فقال رسول الله صلى الله عليه وسلم أو مخرجي هم
505,"وسلم العشاء في آخر حياته فلما سلم قام فقال أرأيتكم ليلتكم هذه فإن رأس مائة سنة منها
", وسلم العشاء فِي آخر ديااته فلما سلم قَام فقال أو أيتخْم ليلتكْم هذه فِنْا رأس مائة سنة منما
506,"أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفصة قولي له إن أبا بكر رجل أسيف وإنه
",أمرت عمر فقال مروا أبا بكر يصلي بالناس فقلت لحفظة قولي له إن أبا بكر رجل أسيف وإنه
507,"فإذا فعلوا ذلك عصموا مني دماءهم وأموالهم إلا بحق الإسلام وحسابهم على الله
",فإذا فعلوا ذلك فعموا مني حماءهم وأموالهم إلا بحق الإسلام ومسابهم على الله فإذا فعلوا ذلك فعموا مني حماءهم وأموالهم إلا بحق الإسلام ومسابهم على الله
508,"بت في بيت خالتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
",ت في بيت خاليتي ميمونة بنت الحارث زوج النبي صلى الله عليه وسلم وكان النبي صلى الله عليه
509,"على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهرين ثم قال إن وفد عبد
",على سريره فقال أقم عندي حتى أجعل لك سهما من مالي فأقمت معه شهريين ثم قال إن وفد عبد
