,text,prediction
0,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ"
1,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،
2,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ
3,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ
4,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد
5,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن
6,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص
7,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها
8,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا","مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا"
9,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ
10,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,تأثرت بلغة بني إرم، فكتبت بها، كما فعل
11,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ
12,العربيه،,العربيه،
13,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي
14,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ
15,استعمل القدماء حجاره البراكين في البناء، ولا يزال,اشعحل القدماء حجاره البراكين في البناء، ولا يزال
16,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد","أَو ثلثه: حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد"
17,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ"
18,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.
