,text,prediction
0,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","وإِذا ما سَأَلْتَني عَن مَعْنِي لَفَظَهُ ""عرب"" عَنْدَ"
1,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,أما فهُم النُّصوص وَإِسْتَنباط قمانيها بِوجْهِ صَحِيحٍ دقيق،
2,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,تَثْيرٍ فيِهاِ الـسود، وَهُوَ ما يَتَعَازِضَ مَعِ إِكْتِشافٍ
3,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,جماعة، وَكَادَت تَصل إِلَى المَرْحَلةِ الاِشْتِراَكِيَّةِ لِسَيْظَرِهِ أُمْبَرَ
4,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,معهُ مَنْديلا فِيهِ جردقتان وَقَطعَ لَحْم سُكْباج مُبَرَد
5,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,إلى المَدارِسِ العامِهِ، وَلَمْ يَكُنْ فِي كَثِيرٍ مِنْ إلى المَدارِسِ العامِهِ، وَلَمْ يَكُنْ فِي كَثِيرٍ مِنْ
6,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,المُسْبِبِ لَظَاهْرَةٍ الاِحْتِبَاسِ الحَرَارِيِّ وَلَا هَا الْقُدْرَةِ عَلَى إِمْتَصَاصِيْ
7,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها, الفُرْصِ وَتَكْون حِضْنِه الشَغْالات فيِ الوَسْطِ يَلِيبها 
8,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا","من الناحيَةِ ""الجيولوجيه"" فَانَّ باطِنِ البِلال وَخْدَهُ لا"
9,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,ويَمْكِنَ تَخْدِيدَ مَجْمُوعَةٍ مِن العَواملِ المُفَسَّرَةِ لِهُذا الأَدَاعَ
10,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,ناثرت بلغة بني إرم ،فكلبت بها ،كما فعل
11,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,نكُون فارسيه، لأنَّ الفَرْشُ مجوس، ولَمَجْوس لا يَعْتَقَدْون تَكُون فارسيه، لأنَّ الفَرْشُ مجوس، ولَمَجْوس لا يَعْتَقَدْون
12,العربيه،,阿拉伯ية،
13,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,ليالاديّ بْمْقْتَضِي قوانيِن القَوْط الغَزْبِيْنَ عَلَى حَقْهِمْ فيِ الليلاديّ بْمْقْتَضِي قوانيِن القَوْط الغَزْبِيْنَ عَلَى حَقْهِمْ فيِ
14,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,تحمل المسؤولية المتعلقة بخطة التحريري. وفضلا عن ذلك
15,استعمل القدماء حجاره البراكين في البناء، ولا يزال,٢٠١٩ شـمـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـ
16,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد",أَو َثلَثَه؛ حَسَبَ ْخُصُوبَة الموسم، وَفِي ْنِهَايَةِ الحِصاد 
17,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","بالزْجْوعِ إلى مُوْلَفات ""الهمداني"" وَغِيْرِهِ مِن عُلَماءِ اليمَنِّ
"
18,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,الأَغضاءِ في إِتْحَادِ المَغْرِبِ العَزْيِيِّ يَرَنامجا دُونِ اقليمي.
19,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,ماؤنْ تَحْدَثْ فِيهْ تَفَاعُلْتْ نَوْويِهْ تَصلَ ذَرَجِيْةِ الخِراَةِ
20,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,ذهب نُوح مُظَفَر ضرِّغام بِصْحِبَةٍ رَؤُوفٍ بِن لَوْيٍ رايقٍ ظافِرٍ 
21,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,َالَّتِي تُسْكَنْها القَبائلِ المتبديهِ، وَتَقْعِ فيِ شَمالها وَفِي 
22,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,بلُبَّ شاعرِ الصِّينِ الكَبِيرِ لِي بَأَيْيَ فِي زَمْنِي
23,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,أننا في الحج. هل تَغْلَم فاِيدَةِ الكَلِمَاتُ التالِيَةِ لِهذا النَّصْ
24,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,أساسيَّةٍ ،وندربهم علَى تَوَلَيٍّ
25,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,معَ البِينَةِ الْيابَانيَّةِ وَخْصُوصِيَّتهاِ الثقافِيَّةِ. كَما تَضَمَنَ مَشْرُوعٌ
26,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,عمِلٍ مُؤرَّخ الجاهلية، ينْطَبِّقُ أيضاً على أهْمِيَّةٍ شَعَرَ
27,وَقَد ذَهَبَ بِعَضُّهُم إِلَى إِن العَرَبِيَّةِ الشَرْقِيَّةِ كانَت,ََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََََ
28,الأَساسِيُّ لِلطاقَةِ وَمِنها تَسْتَمِدّ الأَرْضِ الحَرارَةِ الَّتِي تَحْتاجها,أساسيُ للطاقةِ وَمينها تَستَمَدُ الأَرضِ الحرارةِ اللَّتِي تَحتاجها
29,مَعْهَدِ كونفوشيوس فِي جامِعَةِ قَناةِ السويس، أَقامَهُ مُنْتَدَى,نغبِدَ كَوَ نَفْوَمْيَوسَ فِي مِبَايِعَةِ قَناَةٍ السَوِيْس، أَقَاتِهُ مُتَّدَى
30,سِتَّ وَعِشْرِينَ دَرَجَةِ غَرْباً وَاِثْنَتانِ وَثَلاثِينَ,بت ٠ وعْشْرِينَ فَرْجَةٍ غَزْباً وَاِثْتَانَ وَثْلَثِينَ
