,dataset,image,ground_truth,qari,status
0,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x114 at 0x74BD841076D0>,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","وإِذا ما سَأَلْتَني عَن مَعْنِي لَفَظَهُ ""عرب"" عَنْدَ",success
1,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1182x147 at 0x74BF2E957A50>,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,أما فهُم النُّصوص وَإِسْتَنباط قمانيها بِوجْهِ صَحِيحٍ دقيق،,success
2,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=994x163 at 0x74BD8416FF10>,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,تَثْيرٍ فيِهاِ الـسود، وَهُوَ ما يَتَعَازِضَ مَعِ إِكْتِشافٍ,success
3,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1315x224 at 0x74BD8416EB90>,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,جماعة، وَكَادَت تَصل إِلَى المَرْحَلةِ الاِشْتِراَكِيَّةِ لِسَيْظَرِهِ أُمْبَرَ,success
4,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x129 at 0x74BD8416DD90>,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,معهُ مَنْديلا فِيهِ جردقتان وَقَطعَ لَحْم سُكْباج مُبَرَد,success
5,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x123 at 0x74BD8416D290>,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,إلى المَدارِسِ العامِهِ، وَلَمْ يَكُنْ فِي كَثِيرٍ مِنْ إلى المَدارِسِ العامِهِ، وَلَمْ يَكُنْ فِي كَثِيرٍ مِنْ,success
6,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x108 at 0x74BD8416FF90>,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,المُسْبِبِ لَظَاهْرَةٍ الاِحْتِبَاسِ الحَرَارِيِّ وَلَا هَا الْقُدْرَةِ عَلَى إِمْتَصَاصِيْ,success
7,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=970x146 at 0x74BD8416DAD0>,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها, الفُرْصِ وَتَكْون حِضْنِه الشَغْالات فيِ الوَسْطِ يَلِيبها ,success
8,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1034x142 at 0x74BD8416C350>,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا","من الناحيَةِ ""الجيولوجيه"" فَانَّ باطِنِ البِلال وَخْدَهُ لا",success
9,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x136 at 0x74BD8416E890>,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,ويَمْكِنَ تَخْدِيدَ مَجْمُوعَةٍ مِن العَواملِ المُفَسَّرَةِ لِهُذا الأَدَاعَ,success
10,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=886x160 at 0x74BD84191890>,تأثرت بلغة بني إرم، فكتبت بها، كما فعل,ناثرت بلغة بني إرم ،فكلبت بها ،كما فعل,success
11,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1018x167 at 0x74BD84193950>,تَكُون فارسيه، لِأَنَّ الفُرْسُ مجوس، وَالمَجُوس لا يَعْتَقِدُونَ,نكُون فارسيه، لأنَّ الفَرْشُ مجوس، ولَمَجْوس لا يَعْتَقَدْون تَكُون فارسيه، لأنَّ الفَرْشُ مجوس، ولَمَجْوس لا يَعْتَقَدْون,success
12,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=316x109 at 0x74BD84193F90>,العربيه،,阿拉伯ية،,success
13,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1457x152 at 0x74BD84193C10>,المِيلادِيِّ بِمُقْتَضَى قَوانِينِ القَوْط الغَرْبِيِّينَ عَلَى حَقِّهِم فِي,ليالاديّ بْمْقْتَضِي قوانيِن القَوْط الغَزْبِيْنَ عَلَى حَقْهِمْ فيِ الليلاديّ بْمْقْتَضِي قوانيِن القَوْط الغَزْبِيْنَ عَلَى حَقْهِمْ فيِ,success
14,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=3188x292 at 0x74BD8410A450>,تَتَحَمَّل المَسْؤُولِيَّةِ المُتَعَلِّقَةِ بِخُطَّة التحريري. وَفَضَّلا عَن ذٰلِكَ,تحمل المسؤولية المتعلقة بخطة التحريري. وفضلا عن ذلك,success
15,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1216x126 at 0x74BD8410B9D0>,استعمل القدماء حجاره البراكين في البناء، ولا يزال,٢٠١٩ شـمـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـلـ,success
16,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1295x168 at 0x74BD84177190>,"أَو ثلثه؛ حَسَبَ خُصُوبَة الموسم, وَفِي نِهايَةِ الحِصاد",أَو َثلَثَه؛ حَسَبَ ْخُصُوبَة الموسم، وَفِي ْنِهَايَةِ الحِصاد ,success
17,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1440x119 at 0x74BD841755D0>,"بِالرُجُوعِ إِلَى مُؤَلِّفات ""الهمداني"" وَغَيْرِهِ مِن عُلَماءِ اليَمَنِ","بالزْجْوعِ إلى مُوْلَفات ""الهمداني"" وَغِيْرِهِ مِن عُلَماءِ اليمَنِّ
",success
18,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1118x166 at 0x74BD84175D10>,الأَعْضاءِ فِي اِتِّحادِ المَغْرِبِ العَرَبِيِّ يرنامجا دُونِ اقليمي.,الأَغضاءِ في إِتْحَادِ المَغْرِبِ العَزْيِيِّ يَرَنامجا دُونِ اقليمي.,success
19,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1264x140 at 0x74BD84174750>,هائِلٌ تَحَدَّثَ فِيهِ تَفاعُلاتٌ نَوَوِيّه تَصِل دَرَجَةِ الحَرارَةِ,ماؤنْ تَحْدَثْ فِيهْ تَفَاعُلْتْ نَوْويِهْ تَصلَ ذَرَجِيْةِ الخِراَةِ,success
20,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1278x127 at 0x74BD84175310>,ذَهَبَ نُوح مُظَفَّر ضِرْغام بِصُحْبَةِ رَؤُوف بِن لؤي رايق ظافِر,ذهب نُوح مُظَفَر ضرِّغام بِصْحِبَةٍ رَؤُوفٍ بِن لَوْيٍ رايقٍ ظافِرٍ ,success
21,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1572x217 at 0x74BD84176190>,الَّتِي تُسَكِّنها القَبائِلِ المتبديه، وَتَقَع فِي شَمالها وَفِي,َالَّتِي تُسْكَنْها القَبائلِ المتبديهِ، وَتَقْعِ فيِ شَمالها وَفِي ,success
22,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=889x126 at 0x74BD84176D50>,بِلُبّ شاعِرِ الصِينِ الكَبِيرِ لِيَ بِأَيّ فِي زَمَنٍ,بلُبَّ شاعرِ الصِّينِ الكَبِيرِ لِي بَأَيْيَ فِي زَمْنِي,success
23,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1202x148 at 0x74BD84173D50>,أَنَّنا فِي الحج. هَل تَعْلَم فائِدَةٍ الكَلِماتُ التالِيَة لِهٰذا النَصِّ,أننا في الحج. هل تَغْلَم فاِيدَةِ الكَلِمَاتُ التالِيَةِ لِهذا النَّصْ,success
24,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1124x309 at 0x74BD84171850>,أَساسِيَّةٍ ،وتدربهم عَلَى تَوَلِّي,أساسيَّةٍ ،وندربهم علَى تَوَلَيٍّ,success
25,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1262x139 at 0x74BD84170650>,مَعَ البِيئَةِ اليابانِيَّةِ وَخُصُوصِيَّتها الثقافيه. كَما تَضَمَّنَ مَشْرُوعِ,معَ البِينَةِ الْيابَانيَّةِ وَخْصُوصِيَّتهاِ الثقافِيَّةِ. كَما تَضَمَنَ مَشْرُوعٌ,success
26,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1251x140 at 0x74BD84170D90>,عَمَلٍ مُؤَرَّخ الجاهليه، يَنْطَبِق أَيْضاً عَلَى أَهَمِّيَّةً شَعَرَ,عمِلٍ مُؤرَّخ الجاهلية، ينْطَبِّقُ أيضاً على أهْمِيَّةٍ شَعَرَ,success
