,dataset,image,ground_truth,qari2,status
0,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=639x114 at 0x775534276B10>,"وَإِذا ما سَأَلَتْنِي عَن مَعْنَى لَفَظَهُ ""عرب"" عِنْدَ","وَإِذا ما سَأَلْتَنِي عَن مَعْنَى لَفْظَهُ ""عرب"" عِنْدَ",success
1,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1182x147 at 0x775534276ED0>,أَمّا فَهُم النُصُوصِ وَاِسْتِنْباط مَعانِيها بِوَجْهٍ صَحِيحٌ دقيق،,أمّا فَهْم النُّصوصِ وَإِسْتِنْباطِ مَعانِيها بِوَجْهٍ ضَحِيحٌ دقيقٍ،,success
2,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=994x163 at 0x775534277450>,تُثِير فِيها الاسود، وَهُوَ ما يَتَعارَض مَعَ اِكْتِشافِ,تُثِير فِيها الاسود، وَهْوَ ما يَتَعارَض مَعَ إِكْتِشافِ,success
3,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1315x224 at 0x7755342779D0>,الجماعي، وَكادَت تَصِل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّة لِسَيْطَرَةِ أَكْبَرَ,وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى المَرْحَلَةِ الاِشْتِراكِيَّةِ لِسَيْطَرَةِ أَكْبَرَ الجماعي، وَكَادَت تَصل إِلَى الم,success
4,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1224x129 at 0x775534277F50>,مَعَهُ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مُبَرَّد,مَعَهْ مَنْدِيلا فِيهِ جردقتان وَقَطَعَ لَحْم سَكْباج مْبَرَّد,success
5,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=952x123 at 0x775534284510>,إِلَى المَدارِسِ العامه، وَلَم يَكُن فِي كَثِيرٍ مِن,إلِى المَدارِسِ العامه، وَلَمَ يَكُن فِي كَشِيرٍ مِن,success
6,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1096x108 at 0x775534284A90>,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباس الحَرارِيِّ وَلَها القُدْرَةِ عَلَى اِمْتِصاص,المُسَبِّبِ لِظاهِرَةِ الاِحْتِباسِ الحرَارِيِّ وَلَهَا القُدْرَةِ عَلَى إِمْتِصاصِ,success
7,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=970x146 at 0x775534285010>,القُرْصِ وَتَكُون حِضْنه الشَغّالات فِي الوَسَطِ يَلِيها,القُرْصِيِّ وَتَكْوُنِ حِضْنهِ الشَّغّالاتِ فِي الوَسَطِ يَلِيهَا,success
8,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1034x142 at 0x7755342855D0>,"مِن الناحِيَةِ ""الجيولوجيه"" فَإِنَّ باطِنِ الهِلال وَحْدَهُ لا","مِن الناحِيَةِ ""الجيولوجِيهِ"" فَإِنَّ باطِنِ البِلالِ وَخْدَهْ لا",success
9,ahmedheakl/arocrbench_synthesizear,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=967x136 at 0x775534285B50>,وَيُمْكِن تَحْدِيدِ مَجْمُوعُهُ مِن العَوامِلُ المُفَسِّرَة لِهٰذا الأَداءِ,وَيُفْمِكِن تَخْدِيدِ مَجْمُوعُهُ مِن العَوامِلْ المُفَسِّرَةِ لِهُذا الأَداءِ,success
